orthographe;classe;freqfilms;nblettres
tziganes;ADJ;0.11;8
tziganes;NOM;1.1;8
tâcha;VER;0;5
tâchai;VER;0;6
tâchaient;VER;0;9
tâchais;VER;0.02;7
tâchait;VER;0.13;7
tâchant;VER;0.15;7
tâche;NOM;25.2;5
tâche;VER;0.92;5
tâchent;VER;0;7
tâcher;VER;2.31;6
tâchera;VER;0.34;7
tâcherai;VER;1.1;8
tâcheraient;VER;0;11
tâcherait;VER;0;9
tâcheras;VER;0.02;8
tâcherez;VER;0;8
tâcheron;NOM;0.01;8
tâcherons;VER;0.13;9
tâcherons;NOM;0.04;9
tâcheront;VER;0.01;9
tâches;NOM;5.81;6
tâches;VER;0.11;6
tâchez;VER;4.41;6
tâchions;VER;0;8
tâchons;VER;1.31;7
tâchât;VER;0;6
tâchèrent;VER;0;9
tâché;VER;0.33;5
tâchée;VER;0.08;6
tâchés;VER;0.04;6
tâta;VER;0;4
tâtai;VER;0;5
tâtaient;VER;0;8
tâtais;VER;0.01;6
tâtait;VER;0.03;6
tâtant;VER;0.04;6
tâte;VER;1.02;4
tâtent;VER;0.04;6
tâter;VER;1.94;5
tâtera;VER;0.01;6
tâterai;VER;0.06;7
tâteras;VER;0.01;7
tâterez;VER;0.05;7
tâtez;VER;0.41;5
tâtiez;VER;0;6
tâtonna;VER;0;7
tâtonnai;VER;0;8
tâtonnaient;VER;0;11
tâtonnais;VER;0.01;9
tâtonnait;VER;0.1;9
tâtonnant;ADJ;0;9
tâtonnant;VER;0;9
tâtonnante;ADJ;0;10
tâtonnantes;ADJ;0;11
tâtonnants;ADJ;0;10
tâtonne;VER;0.47;7
tâtonnement;NOM;0;11
tâtonnements;NOM;0.12;12
tâtonnent;VER;0.01;9
tâtonner;VER;0.08;8
tâtonnera;VER;0.01;9
tâtonnerais;VER;0;11
tâtonnions;VER;0;10
tâtonnâmes;VER;0;10
tâtonnât;VER;0;8
tâtonnèrent;VER;0;11
tâtonné;VER;0.01;7
tâtonnée;VER;0;8
tâtons;VER;0.03;6
tâtèrent;VER;0;8
tâté;VER;0.29;4
tâtés;VER;0.01;5
tète;VER;0.64;4
tètent;VER;0;6
té;NOM;2.16;2
té;ONO;0.8;2
téflon;NOM;0.17;6
tégument;NOM;0;8
tégumentaire;ADJ;0.01;12
tégénaires;NOM;0;10
tél;NOM;0.04;3
tél.;NOM;0.14;4
télencéphale;NOM;1.2;12
télescopage;NOM;0.02;11
télescopait;VER;0.01;11
télescope;NOM;2.31;9
télescope;VER;0.01;9
télescopent;VER;0;11
télescoper;VER;0.01;10
télescopes;NOM;0.14;10
télescopes;VER;0.01;10
télescopique;ADJ;0.2;12
télescopiques;ADJ;0.03;13
télescopèrent;VER;0;13
télescopé;VER;0;9
télescopée;VER;0;10
télescopées;VER;0.01;11
télescripteurs;NOM;0;14
télex;NOM;1.18;5
télexa;VER;0;6
télexer;VER;0.01;7
télexes;VER;0;7
télexé;VER;0.01;6
téloche;NOM;0.16;7
télègue;NOM;0;7
télé;NOM;104.35;4
téléachat;NOM;0.06;9
téléavertisseur;NOM;0.02;15
télécabine;NOM;0.34;10
télécartes;NOM;0.01;10
télécharge;VER;0.34;10
téléchargeables;ADJ;0.01;15
téléchargement;NOM;0.32;14
téléchargent;VER;0.06;12
téléchargeons;VER;0.02;13
télécharger;VER;0.91;11
téléchargera;VER;0.02;12
téléchargerai;VER;0.01;13
téléchargerons;VER;0.01;14
téléchargez;VER;0.11;11
téléchargé;VER;0.75;10
téléchargée;VER;0.15;11
téléchargées;VER;0.11;12
téléchargés;VER;0.05;11
télécinéma;NOM;0.01;10
télécommande;NOM;4.02;12
télécommande;VER;0.15;12
télécommander;VER;0.06;13
télécommandes;NOM;0.35;13
télécommandes;VER;0.01;13
télécommandé;VER;0.24;12
télécommandée;VER;0.1;13
télécommandées;VER;0.08;14
télécommandés;VER;0.05;13
télécommunication;NOM;0.53;17
télécommunications;NOM;0.41;18
télécoms;NOM;0.3;8
téléconférence;NOM;0.41;14
télécopieur;NOM;0.03;11
télécran;NOM;0.03;8
télécrans;NOM;0.02;9
télédiffuser;VER;0.03;12
télédiffusion;NOM;0.01;13
téléfax;NOM;0.01;7
téléfaxe;VER;0.01;8
téléfaxez;VER;0.01;9
téléfilm;NOM;0.45;8
téléfilms;NOM;0.04;9
téléfériques;NOM;0;12
télégramme;NOM;10.53;10
télégrammes;NOM;0.9;11
télégraphe;NOM;1.53;10
télégraphes;NOM;0.12;11
télégraphia;VER;0;11
télégraphiai;VER;0.01;12
télégraphiait;VER;0;13
télégraphiant;VER;0;13
télégraphie;NOM;0.06;11
télégraphie;VER;0.05;11
télégraphient;VER;0;13
télégraphier;VER;0.21;12
télégraphierai;VER;0.03;14
télégraphierais;VER;0;15
télégraphierait;VER;0;15
télégraphiez;VER;0.17;12
télégraphions;VER;0.01;13
télégraphique;ADJ;0.2;13
télégraphiques;ADJ;0.29;14
télégraphiste;NOM;0.36;13
télégraphistes;NOM;0.01;14
télégraphiâmes;VER;0;14
télégraphié;VER;0.75;11
télégraphiée;VER;0;12
télégraphiées;VER;0;13
télégraphiés;VER;0;12
téléguidage;NOM;0.15;11
téléguider;VER;0.01;10
téléguidé;VER;0.2;9
téléguidée;VER;0.13;10
téléguidées;VER;0;11
téléguidés;VER;0.02;10
télégénie;NOM;0.01;9
télégénique;ADJ;0.02;11
télékinésie;NOM;0.6;11
télémark;NOM;0;8
télémarketing;NOM;0.14;13
télématique;ADJ;0.01;11
télémesure;NOM;0.03;10
télémesures;NOM;0.04;11
télémètre;NOM;0.02;9
télémètres;NOM;0.01;10
télémétrie;NOM;0.85;10
télémétrique;ADJ;0.08;12
télémétriques;ADJ;0.07;13
téléobjectif;NOM;0.62;12
téléobjectifs;NOM;0.1;13
téléologique;ADJ;0.01;12
télépathe;NOM;1.17;9
télépathes;NOM;0.36;10
télépathie;NOM;1.94;10
télépathique;ADJ;0.41;12
télépathiquement;ADV;0.01;16
télépathiques;ADJ;0.13;13
téléphona;VER;0.02;9
téléphonage;NOM;0;11
téléphonai;VER;0.01;10
téléphonaient;VER;0.02;13
téléphonais;VER;0.63;11
téléphonait;VER;0.87;11
téléphonant;VER;0.2;11
téléphone;NOM;155.68;9
téléphone;VER;9.44;9
téléphonent;VER;0.36;11
téléphoner;VER;20.22;10
téléphonera;VER;0.61;11
téléphonerai;VER;2.07;12
téléphoneraient;VER;0.01;15
téléphonerais;VER;0.12;13
téléphonerait;VER;0.06;13
téléphoneras;VER;0.17;12
téléphonerez;VER;0.27;12
téléphoneriez;VER;0;13
téléphonerons;VER;0.03;13
téléphoneront;VER;0.14;13
téléphones;NOM;5.12;10
téléphones;VER;2.07;10
téléphonez;VER;2.26;10
téléphonie;NOM;0.22;10
téléphoniez;VER;0.05;11
téléphonions;VER;0;12
téléphonique;ADJ;6.03;12
téléphoniquement;ADV;0.14;16
téléphoniques;ADJ;3.2;13
téléphoniste;NOM;0.1;12
téléphonistes;NOM;0.17;13
téléphonons;VER;0.05;11
téléphonât;VER;0;10
téléphoné;VER;20.8;9
téléphoné;ADJ;0.2;9
téléphonée;ADJ;0.01;10
téléphonées;ADJ;0;11
téléphonés;VER;0.01;10
téléphonés;ADJ;0;10
téléphérique;NOM;0.36;12
téléport;NOM;0.01;8
téléportation;NOM;1;13
téléprompteur;NOM;0.08;13
téléreportage;NOM;0.01;13
téléroman;NOM;0.05;9
télés;NOM;2.06;5
téléscripteur;NOM;0.04;13
téléscripteurs;NOM;0.01;14
télésiège;NOM;1.04;9
télésièges;NOM;0.14;10
téléski;NOM;0.02;7
téléspectateur;NOM;0.13;14
téléspectateurs;NOM;2.03;15
téléspectatrice;NOM;0.03;15
téléspectatrices;NOM;0.01;16
télésurveillance;NOM;0.01;16
télétexte;NOM;0.1;9
télétravail;NOM;0.01;11
télétravailleuse;NOM;0.01;16
télétype;NOM;0.08;8
télétypes;NOM;0.02;9
télévangéliste;NOM;0.05;14
télévangélistes;NOM;0.01;15
télévendeur;NOM;0.01;11
télévente;NOM;0.01;9
télévise;VER;0.01;8
télévisera;VER;0;10
télévises;VER;0;9
téléviseur;NOM;1.74;10
téléviseurs;NOM;0.69;11
télévision;NOM;25.45;10
télévisions;NOM;0.93;11
télévisuel;ADJ;0.27;10
télévisuelle;ADJ;0.05;12
télévisuels;ADJ;0;11
télévisé;VER;0.09;8
télévisé;ADJ;2.11;8
télévisée;VER;0.12;9
télévisée;ADJ;0.48;9
télévisées;VER;0.14;10
télévisées;ADJ;0.14;10
télévisés;VER;0.01;9
télévisés;ADJ;0.64;9
témoigna;VER;0.02;8
témoignage;NOM;12.28;10
témoignages;NOM;3.84;11
témoignaient;VER;0.02;12
témoignais;VER;0.04;10
témoignait;VER;0.32;10
témoignant;VER;0.2;10
témoigne;VER;3.1;8
témoignent;VER;0.81;10
témoigner;VER;13.36;9
témoignera;VER;1.09;10
témoignerai;VER;0.88;11
témoigneraient;VER;0;14
témoignerais;VER;0.05;12
témoignerait;VER;0.13;12
témoigneras;VER;0.08;11
témoignerez;VER;0.28;11
témoigneront;VER;0.18;12
témoignes;VER;0.29;9
témoignez;VER;0.91;9
témoigniez;VER;0.11;10
témoignât;VER;0;9
témoignèrent;VER;0;12
témoigné;VER;1.99;8
témoignée;VER;0.31;9
témoignées;VER;0.01;10
témoignés;VER;0.11;9
témoin;NOM;49.35;6
témoin-clé;NOM;0.13;10
témoin-vedette;NOM;0.01;14
témoins;NOM;25.43;7
témoins-clés;NOM;0.05;12
téméraire;ADJ;2.04;9
témérairement;ADV;0;13
téméraires;ADJ;0.34;10
témérité;NOM;0.87;8
témérités;NOM;0;9
ténacité;NOM;0.89;8
ténia;NOM;0.08;5
ténias;NOM;0.03;6
ténor;NOM;1.01;5
ténors;NOM;0.36;6
ténu;ADJ;0.3;4
ténue;ADJ;0.08;5
ténues;ADJ;0.01;6
ténuité;NOM;0;7
ténus;ADJ;0.01;5
ténèbre;NOM;0.01;7
ténèbres;NOM;16.36;8
ténébreuse;ADJ;0.24;10
ténébreuses;ADJ;0.15;11
ténébreux;ADJ;1.11;9
ténébrionidé;NOM;0;12
téraoctets;NOM;0.01;10
tératologique;ADJ;0;13
tératologiques;ADJ;0;14
tératome;NOM;0.05;8
térébenthine;NOM;0.55;12
térébinthe;NOM;0.01;10
térébinthes;NOM;0;11
térébrant;ADJ;0;9
térébrants;ADJ;0;10
tés;NOM;0.19;3
téta;VER;0.01;4
tétaient;VER;0.01;8
tétais;VER;0.13;6
tétait;VER;0.06;6
tétanie;NOM;0.15;7
tétanique;ADJ;0;9
tétaniques;ADJ;0;10
tétanisait;VER;0;10
tétanisant;VER;0;10
tétanisation;NOM;0;12
tétanisent;VER;0.01;10
tétaniser;VER;0;9
tétanisé;VER;0.17;8
tétanisé;ADJ;0.11;8
tétanisée;VER;0.25;9
tétanisée;ADJ;0.01;9
tétanisées;ADJ;0;10
tétanisés;ADJ;0;9
tétanos;NOM;0.64;7
tétant;VER;0.1;6
tétasses;VER;0;8
téter;VER;0.43;5
téteur;NOM;0.05;6
tétiez;VER;0.01;6
tétine;NOM;0.43;6
tétines;NOM;0.38;7
tétins;NOM;0;6
téton;NOM;1.21;5
tétons;VER;0.01;6
tétons;NOM;3.39;6
tétra;NOM;0.01;5
tétrachlorure;NOM;0.04;13
tétracycline;NOM;0.09;12
tétradrachme;NOM;0;12
tétragones;NOM;0;10
tétragramme;NOM;0;11
tétragrammes;NOM;0.01;12
tétralogie;NOM;0.01;10
tétramère;ADJ;0;9
tétramètre;NOM;0.03;10
tétraplégie;NOM;0.14;11
tétraplégique;ADJ;0.44;13
tétrarque;NOM;0.1;9
tétrarques;NOM;0;10
tétras;NOM;0.16;6
tétrodotoxine;NOM;0.02;13
tétère;NOM;0;6
tétèrent;VER;0;8
tété;VER;0.29;4
tétée;VER;0.01;5
tétée;NOM;0.51;5
tétées;VER;0;6
tétées;NOM;0.11;6
tévé;NOM;0;4
tézig;PRO:per;0;5
tézigue;PRO:per;0;7
têt;NOM;0.34;3
têtard;NOM;0.68;6
têtards;NOM;0.17;7
tête;NOM;453.13;4
tête-bêche;ADV;0.02;10
tête-bêche;NOM;0.03;10
tête-de-mort;NOM;0.01;12
tête-de-nègre;ADJ;0;13
tête-à-queue;NOM;0;12
tête-à-tête;NOM;0;11
têtes;NOM;22.74;5
têtes-de-loup;NOM;0;13
têtière;NOM;0;7
têtières;NOM;0;8
têtu;ADJ;6.17;4
têtue;ADJ;2.97;5
têtues;ADJ;0.09;6
têtus;ADJ;0.55;5
tînmes;VER;0;6
tînt;VER;0;4
tôlarde;NOM;0.01;7
tôle;NOM;3.29;4
tôlerie;NOM;0;7
tôles;NOM;0.29;5
tôlier;NOM;0.01;6
tôliers;NOM;0;7
tôlière;NOM;0.01;7
tôt;ADV;129.98;3
tôt-fait;NOM;0;8
tûmes;VER;0;5
tût;VER;0.03;3
u;NOM;18.4;1
ubac;NOM;0;4
ubique;ADJ;0;6
ubiquiste;ADJ;0;9
ubiquiste;NOM;0.01;9
ubiquitaire;ADJ;0;11
ubiquité;NOM;0.04;8
ubuesque;ADJ;0.14;8
ufologie;NOM;0.04;8
uhlan;NOM;0.14;5
uhlans;NOM;0.05;6
uht;ADJ;0.01;3
ukase;NOM;0.2;5
ukases;NOM;0;6
ukrainien;ADJ;0.28;9
ukrainien;NOM;0.39;9
ukrainienne;ADJ;0.28;11
ukrainienne;NOM;0.02;11
ukrainiennes;ADJ;0.01;12
ukrainiens;ADJ;0.05;10
ukrainiens;NOM;0.3;10
ukulélé;NOM;0.16;7
ulcère;NOM;3.98;6
ulcère;VER;0.03;6
ulcères;NOM;0.71;7
ulcéra;VER;0;6
ulcérait;VER;0;8
ulcérant;VER;0;8
ulcérations;NOM;0.01;11
ulcérative;ADJ;0.01;10
ulcéreuse;ADJ;0.01;9
ulcéreuses;ADJ;0;10
ulcéreux;ADJ;0.01;8
ulcéré;VER;0.48;6
ulcéré;ADJ;0.01;6
ulcérée;VER;0;7
ulcérée;ADJ;0;7
ulcérées;VER;0;8
ulcérées;ADJ;0;8
ulcérés;VER;0.15;7
ulcérés;ADJ;0;7
ulna;NOM;0.01;4
ulnaire;ADJ;0.01;7
ultima ratio;NOM;0;12
ultimatum;NOM;1.23;9
ultimatums;NOM;0.09;10
ultime;ADJ;8.01;6
ultimement;ADV;0.01;10
ultimes;ADJ;0.55;7
ultimo;ADV;0;6
ultra;ADJ;1.59;5
ultra;NOM;0.49;5
ultra-catholique;ADJ;0.1;16
ultra-chic;ADJ;0.03;10
ultra-chics;ADJ;0;11
ultra-courtes;ADJ;0.02;13
ultra-courts;ADJ;0.14;12
ultra-gauche;NOM;0;12
ultra-rapide;ADJ;0.2;12
ultra-secret;ADJ;0.2;12
ultra-secret;NOM;0.01;12
ultra-sensible;ADJ;0.01;14
ultra-sons;NOM;0.03;10
ultra-violet;ADJ;0.01;12
ultra-violets;ADJ;0.03;13
ultra-violets;NOM;0.04;13
ultrafin;ADJ;0;8
ultragauche;NOM;0;11
ultraléger;ADJ;0.01;10
ultramarine;ADJ;0;11
ultramoderne;ADJ;0.34;12
ultramodernes;ADJ;0.14;13
ultramontain;ADJ;0;12
ultramontains;ADJ;0;13
ultraperformant;ADJ;0;15
ultrarapide;ADJ;0.03;11
ultrarapides;ADJ;0.02;12
ultras;NOM;0;6
ultrasecret;ADJ;0.06;11
ultrasecrète;ADJ;0.04;12
ultrasensible;ADJ;0.23;13
ultrasensibles;ADJ;0.01;14
ultrason;NOM;0.34;8
ultrasonique;ADJ;0.25;12
ultrasons;NOM;0.53;9
ultraviolet;ADJ;0.16;11
ultraviolet;NOM;0.06;11
ultraviolets;ADJ;0.08;12
ultraviolets;NOM;0.27;12
ultraviolette;ADJ;0.07;13
ultraviolettes;ADJ;0.01;14
ultravirus;NOM;0.01;10
ultérieur;ADJ;0.27;9
ultérieure;ADJ;0.28;10
ultérieurement;ADV;0.37;14
ultérieures;ADJ;0.09;11
ultérieurs;ADJ;0.07;10
ulula;VER;0;5
ululait;VER;0;7
ululant;VER;0;7
ulule;VER;0.01;5
ululement;NOM;0;9
ululements;NOM;0;10
ululer;VER;0;6
umbanda;NOM;0.1;7
un;ADJ:num;43.17;2
un;ART:ind;12087.62;2
un;PRO:ind;554.76;2
unanime;ADJ;1.77;7
unanimement;ADV;0.06;11
unanimes;ADJ;0.41;8
unanimisme;NOM;0;10
unanimité;NOM;2.63;9
unau;NOM;0.01;4
underground;ADJ;0.89;11
underground;NOM;0.2;11
une;ADJ:num;14.54;3
une;ART:ind;7907.85;3
une;NOM;1.13;3
une;PRO:ind;210.01;3
unes;PRO:ind;3.42;4
unetelle;NOM;0.01;8
unguéal;ADJ;0.01;7
uni;ADJ;0.64;3
uni;NOM;0.11;3
uni;VER;1.57;3
uniate;ADJ;0;6
unicellulaire;ADJ;0.05;13
unicité;NOM;0.19;7
unicorne;ADJ;0.01;8
unidimensionnel;ADJ;0.14;15
unidimensionnelle;ADJ;0.01;17
unidirectionnel;ADJ;0.03;15
unidirectionnelle;ADJ;0.02;17
unidirectionnels;ADJ;0.01;16
unie;ADJ;1.17;4
unie;VER;0.98;4
unies;ADJ;3.46;5
unies;VER;0.65;5
unification;NOM;1.5;11
unificatrice;ADJ;0.03;12
unifie;VER;0;6
unifient;VER;0.04;8
unifier;VER;0.56;7
unifiez;VER;0.02;7
unifié;VER;0.4;6
unifiée;VER;0.2;7
unifiées;VER;0;8
unifiés;VER;0.3;7
uniforme;ADJ;1.14;8
uniforme;NOM;24.92;8
uniformes;ADJ;0.27;9
uniformes;NOM;6.09;9
uniformisait;VER;0;12
uniformisation;NOM;0.01;14
uniformise;VER;0.1;10
uniformiser;VER;0;11
uniformisée;VER;0;11
uniformisés;VER;0;11
uniformité;NOM;0.07;10
uniformément;ADV;0.06;12
unijambiste;ADJ;0.53;11
unijambiste;NOM;0.21;11
unijambistes;ADJ;0.01;12
unijambistes;NOM;0.01;12
unilatéral;ADJ;0.22;10
unilatérale;ADJ;0.16;11
unilatéralement;ADV;0.1;15
unilatérales;ADJ;0.04;12
unilatéralité;NOM;0.03;13
unilatéraux;ADJ;0.01;11
uniment;ADV;0;7
uninominal;ADJ;0;10
uninominales;ADJ;0;12
union;NOM;18.1;5
unioniste;ADJ;0.07;9
unioniste;NOM;0.01;9
unionistes;NOM;0;10
unions;NOM;1.04;6
uniprix;NOM;0;7
unique;ADJ;43.12;6
uniquement;ADV;21.86;10
uniques;ADJ;2.31;7
unir;VER;5.84;4
unira;VER;0.45;5
unirai;VER;0.16;6
uniraient;VER;0;9
unirait;VER;0.06;7
unirent;VER;0.17;7
unirez;VER;0.01;6
unirions;VER;0.14;8
unirons;VER;0.27;7
uniront;VER;0.21;7
unis;ADJ;4.81;4
unis;NOM;0.05;4
unis;VER;6.63;4
unisexe;ADJ;0.1;7
unisexes;ADJ;0.01;8
unissaient;VER;0.29;10
unissais;VER;0;8
unissait;VER;0.34;8
unissant;VER;0.14;8
unisse;VER;1.04;6
unissent;VER;1.23;8
unisses;VER;0;7
unissez;VER;1.43;7
unissiez;VER;0;8
unissions;VER;0.02;9
unisson;NOM;0.81;7
unissons;VER;0.81;8
unit;VER;2.72;4
unitaire;ADJ;0.04;8
unitarien;ADJ;0.02;9
unitarienne;ADJ;0.02;11
unité;NOM;29.29;5
unités;NOM;14.18;6
univalves;ADJ;0;9
univers;NOM;34.21;7
universal;NOM;1.24;9
universalisais;VER;0;14
universalise;VER;0.01;12
universalisme;NOM;0;13
universaliste;NOM;0.01;13
universalité;NOM;0;12
universel;ADJ;2.51;9
universel;NOM;0.45;9
universelle;ADJ;2.34;11
universellement;ADV;0.26;15
universelles;ADJ;0.18;12
universels;ADJ;0.06;10
universitaire;ADJ;2.72;13
universitaire;NOM;0.64;13
universitaires;ADJ;0.85;14
universitaires;NOM;0.33;14
université;NOM;38.22;10
universités;NOM;2.42;11
univoque;ADJ;0.25;8
unième;ADJ;0.17;6
uns;PRO:ind;15.74;3
untel;NOM;1.03;5
unît;VER;0;4
upanisads;NOM;0;9
upanishad;NOM;0.02;9
upas;ADV;0.01;4
upas;NOM;0;4
update;NOM;0.04;6
updater;VER;0.01;7
upgradée;VER;0.14;8
uppercut;NOM;0.28;8
uppercuts;NOM;0.04;9
urane;NOM;0;5
uraniens;ADJ;0.01;8
uranisme;NOM;0;8
uraniste;NOM;0.02;8
uranium;NOM;1.6;7
urbain;ADJ;0.96;6
urbaine;ADJ;1.28;7
urbaines;ADJ;0.42;8
urbains;ADJ;0.41;7
urbanisation;NOM;0.14;12
urbanisme;NOM;1.48;9
urbaniste;ADJ;0.01;9
urbaniste;NOM;0;9
urbanistes;ADJ;0;10
urbanistes;NOM;0.29;10
urbanisé;VER;0;8
urbanisée;VER;0.02;9
urbanité;NOM;0;8
urbi et orbi;ADV;0.01;12
urdu;NOM;0.02;4
ures;NOM;0.01;4
uretère;NOM;0.04;7
urf;ADJ;0;3
urge;VER;0.77;4
urgeait;VER;0.01;7
urgemment;ADV;0.01;9
urgence;NOM;38.78;7
urgences;NOM;14.24;8
urgent;VER;0.02;6
urgent;ADJ;26.75;6
urgente;ADJ;3.18;7
urgentes;ADJ;0.84;8
urgentissime;ADJ;0.02;12
urgentiste;NOM;0.25;10
urgents;ADJ;0.79;7
urger;VER;0.01;5
urina;VER;0;5
urinaient;VER;0.12;9
urinaire;ADJ;0.98;8
urinaires;ADJ;0.28;9
urinais;VER;0;7
urinait;VER;0.01;7
urinal;NOM;0.03;6
urinant;VER;0.06;7
urine;NOM;4.63;5
urine;VER;0.33;5
urinent;VER;0.08;7
uriner;VER;0.86;6
urinera;VER;0.01;7
urines;NOM;1.08;6
urines;VER;0.17;6
urineuse;ADJ;0;8
urinez;VER;0.1;6
urinoir;NOM;0.37;7
urinoirs;NOM;0.32;8
urinons;VER;0;7
uriné;VER;0.25;5
urique;ADJ;0.06;6
urne;NOM;1.94;4
urnes;NOM;0.74;5
urographie;NOM;0;10
urokinase;NOM;0.01;9
urologie;NOM;0.23;8
urologique;ADJ;0.01;10
urologue;NOM;0.29;8
uroscopie;NOM;0;9
ursuline;NOM;0;8
ursulines;NOM;0.23;9
urticaire;NOM;1.22;9
urticante;ADJ;0.01;9
urticantes;ADJ;0.01;10
urticants;ADJ;0;9
urubu;NOM;0;5
urubus;NOM;0;6
uruguayen;ADJ;0.23;9
uruguayen;NOM;0.57;9
urus;NOM;0;4
urètre;NOM;0.16;6
urée;NOM;0.2;4
urémie;NOM;0.31;6
urémique;ADJ;0.02;8
uréthane;NOM;0.08;8
urétrite;NOM;0.04;8
us;NOM;9.1;2
usa;VER;0.15;3
usage;NOM;13.26;5
usager;NOM;0.02;6
usagers;NOM;0.05;7
usages;NOM;1.19;6
usagères;NOM;0;8
usagé;ADJ;0.22;5
usagée;ADJ;0.39;6
usagées;ADJ;0.31;7
usagés;ADJ;0.45;6
usai;VER;0;4
usaient;VER;0.14;7
usais;VER;0.02;5
usait;VER;0.08;5
usant;ADJ;0.39;5
usant;VER;0.59;5
usante;ADJ;0.01;6
use;VER;3.19;3
usent;VER;0.17;5
user;VER;3.48;4
usera;VER;0.34;5
userai;VER;0.22;6
userais;VER;0.16;7
userait;VER;0.04;7
useriez;VER;0.02;7
userons;VER;0.01;7
useront;VER;0.02;7
uses;VER;0.19;4
usez;VER;0.46;4
usinage;NOM;0.05;7
usinaient;VER;0;9
usinant;VER;0;7
usine;NOM;43.51;5
usine;VER;0.04;5
usine-pilote;NOM;0;12
usiner;VER;0.01;6
usines;NOM;8.08;6
usinier;ADJ;0;7
usiniers;NOM;0;8
usinière;ADJ;0;8
usiné;VER;0;5
usinée;VER;0;6
usinées;VER;0;7
usinés;VER;0;6
usions;VER;0.02;6
usité;ADJ;0;5
usités;ADJ;0.01;6
usons;VER;0.14;5
ustensile;NOM;0.27;9
ustensiles;NOM;1.06;10
ustion;NOM;0;6
usuel;ADJ;0.04;5
usuelle;ADJ;0.04;7
usuellement;ADV;0.1;11
usuelles;ADJ;0;8
usuels;ADJ;0.1;6
usufruit;NOM;0.15;8
usufruitier;NOM;0;11
usuraire;ADJ;0.01;8
usuraires;ADJ;0.02;9
usure;NOM;1.77;5
usures;NOM;0.01;6
usurier;NOM;1.2;7
usuriers;NOM;0.86;8
usurière;NOM;0.11;8
usurpaient;VER;0;10
usurpait;VER;0;8
usurpant;VER;0.01;8
usurpateur;NOM;0.21;10
usurpateurs;NOM;0.05;11
usurpation;NOM;0.59;10
usurpatrice;NOM;0.17;11
usurpent;VER;0.01;8
usurper;VER;0.51;7
usurperont;VER;0.01;10
usurpé;VER;0.54;6
usurpée;VER;0;7
usurpées;VER;0;8
usurpés;VER;0.01;7
usât;VER;0;4
usèrent;VER;0;7
usé;VER;2.02;3
usé;ADJ;0.83;3
usée;VER;0.8;4
usée;ADJ;0.77;4
usées;VER;0.28;5
usées;ADJ;0.5;5
usés;VER;1.05;4
usés;ADJ;0.39;4
ut;NOM;1.02;2
utile;ADJ;36.47;5
utile;NOM;2.22;5
utilement;ADV;0.03;9
utiles;ADJ;8.52;6
utilisa;VER;0.23;7
utilisable;ADJ;1.3;10
utilisables;ADJ;0.32;11
utilisai;VER;0;8
utilisaient;VER;1.68;11
utilisais;VER;1.15;9
utilisait;VER;3.84;9
utilisant;VER;5.73;9
utilisateur;NOM;0.79;11
utilisateurs;NOM;0.44;12
utilisation;NOM;4.47;11
utilisations;NOM;0.2;12
utilisatrice;NOM;0.01;12
utilise;VER;31.68;7
utilisent;VER;8;9
utiliser;VER;61.97;8
utilisera;VER;1.62;9
utiliserai;VER;1.82;10
utiliseraient;VER;0.2;13
utiliserais;VER;1.17;11
utiliserait;VER;0.8;11
utiliseras;VER;0.58;10
utiliserez;VER;0.36;10
utiliseriez;VER;0.17;11
utiliserions;VER;0.03;12
utiliserons;VER;1.02;11
utiliseront;VER;0.49;11
utilises;VER;3.8;8
utilisez;VER;11.86;8
utilisiez;VER;0.66;9
utilisions;VER;0.37;10
utilisons;VER;3.04;9
utilisât;VER;0;8
utilisèrent;VER;0.06;11
utilisé;VER;30.65;7
utilisé;ADJ;1.25;7
utilisée;VER;5.59;8
utilisée;ADJ;0.47;8
utilisées;VER;1.43;9
utilisées;ADJ;0.17;9
utilisés;VER;2.44;8
utilisés;ADJ;0.4;8
utilitaire;ADJ;0.11;10
utilitaire;NOM;0.15;10
utilitaires;ADJ;0.01;11
utilitaires;NOM;0.01;11
utilitarisme;NOM;0;12
utilité;NOM;4.15;7
utilités;NOM;0.13;8
utopie;NOM;1.16;6
utopies;NOM;0.32;7
utopique;ADJ;0.33;8
utopiques;ADJ;0.16;9
utopiste;NOM;0.11;8
utopistes;NOM;0.18;9
utérin;ADJ;0.06;6
utérine;ADJ;0.09;7
utérines;ADJ;0.02;8
utérins;ADJ;0.01;7
utérus;NOM;2.88;6
uxorilocal;ADJ;0;10
v;ADJ:num;3.56;1
v;NOM;26.54;1
va;VER;3382.55;2
va;NOM;0.34;2
va-et-vient;NOM;1.3;11
va-tout;NOM;0.05;7
vacance;NOM;0.29;7
vacances;NOM;67.6;8
vacancier;NOM;0.02;9
vacanciers;NOM;0.2;10
vacancière;NOM;0.01;10
vacancières;NOM;0.01;11
vacant;ADJ;0.84;6
vacante;ADJ;0.6;7
vacantes;ADJ;0.01;8
vacants;ADJ;0.22;7
vacarme;NOM;3.46;7
vacarmes;NOM;0;8
vacataire;NOM;0.05;9
vacation;NOM;0.05;8
vacations;NOM;0;9
vaccin;NOM;5.01;6
vaccinal;ADJ;0.01;8
vaccinant;ADJ;0;9
vaccination;NOM;0.2;11
vaccinations;NOM;0.3;12
vaccine;NOM;0.04;7
vaccine;VER;0.18;7
vaccinent;VER;0;9
vacciner;VER;0.68;8
